epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.818,3.33476,3.98418,4.25146,0.00292,0.875,0.00378,0.00063,3.3033,4.30482,4.15813,8e-05,8e-05,8e-05
2,69.9561,3.1184,3.8665,4.23785,0.00292,0.875,0.00428,0.00068,3.30105,4.30952,4.15645,0.000176436,0.000176436,0.000176436
3,108.408,3.22046,3.89375,4.22386,0.00292,0.875,0.00443,0.00072,3.29594,4.31224,4.15375,0.000268912,0.000268912,0.000268912
4,145.798,3.25459,3.89983,4.16909,0.00281,0.84375,0.00333,0.00062,3.28886,4.30965,4.15035,0.000357428,0.000357428,0.000357428
5,183.451,3.06755,3.82008,4.15457,0.00292,0.875,0.00406,0.00077,3.27219,4.30329,4.14193,0.000441984,0.000441984,0.000441984
6,222.16,3.25436,3.83757,4.1357,0.00292,0.875,0.00374,0.00075,3.25648,4.29507,4.13351,0.00052258,0.00052258,0.00052258
7,264.502,3.12125,3.68699,4.10688,0.00292,0.875,0.00362,0.0007,3.22328,4.2724,4.11505,0.000599216,0.000599216,0.000599216
8,306.545,3.22724,3.83317,4.10585,0.00292,0.875,0.00357,0.00074,3.18825,4.23532,4.09496,0.000671892,0.000671892,0.000671892
9,345.828,3.08811,3.6877,4.02852,0.00302,0.90625,0.00607,0.00116,3.10342,4.1579,4.05007,0.000740608,0.000740608,0.000740608
10,386.853,2.84104,3.55435,3.92919,0.00302,0.90625,0.005,0.0011,3.03854,4.0911,4.01879,0.000805364,0.000805364,0.000805364
11,425.7,2.78526,3.39602,3.80819,0.00292,0.875,0.00422,0.00094,3.04062,3.99631,4.0064,0.00086616,0.00086616,0.00086616
12,465.178,2.92895,3.25205,3.80059,0.00292,0.875,0.00494,0.0012,3.03102,3.9841,4.01161,0.000922996,0.000922996,0.000922996
13,513.739,2.86921,3.0563,3.71573,0.00281,0.84375,0.00475,0.00122,3.04993,3.97723,4.02406,0.000975872,0.000975872,0.000975872
14,554.46,2.81818,3.24049,3.5947,0.0026,0.78125,0.00353,0.00056,3.52029,3.95197,4.28822,0.00102479,0.00102479,0.00102479
15,591.143,2.81826,3.10202,3.57393,0.00281,0.84375,0.00397,0.00063,3.42246,3.91606,4.27703,0.00106974,0.00106974,0.00106974
16,628.344,2.86348,3.06118,3.54452,0.00281,0.84375,0.00427,0.00087,3.20777,3.85488,4.16977,0.00111074,0.00111074,0.00111074
17,665.406,2.80144,3.02894,3.47586,0.00292,0.875,0.00493,0.00101,3.25033,3.89162,4.24385,0.00114778,0.00114778,0.00114778
18,708.431,2.63572,2.7762,3.40383,0.00292,0.875,0.00431,0.00099,3.14511,3.88208,4.17673,0.00118085,0.00118085,0.00118085
19,744.928,2.73197,2.89168,3.33126,0.00313,0.9375,0.00433,0.00105,2.96137,3.83402,4.01593,0.00120997,0.00120997,0.00120997
20,781.111,2.61921,2.78116,3.33766,0.00281,0.84375,0.00298,0.00063,2.8901,3.90669,3.93605,0.00123512,0.00123512,0.00123512
21,820.887,2.71569,2.79061,3.23718,0.04816,0.03125,0.02024,0.00645,2.77707,3.82793,3.81963,0.001208,0.001208,0.001208
22,863.083,2.56871,2.61968,3.19791,0.4064,0.03125,0.03832,0.00954,2.60828,3.84638,3.68967,0.0011684,0.0011684,0.0011684
23,902.189,2.63351,2.67952,3.20799,0.41957,0.03125,0.0413,0.01387,2.37571,4.16182,3.61391,0.0011288,0.0011288,0.0011288
24,938.189,2.5563,2.53051,3.15154,0.17803,0.375,0.08967,0.0465,2.00869,3.74009,2.94891,0.0010892,0.0010892,0.0010892
25,973.574,2.54684,2.45684,3.07873,0.32903,0.375,0.25965,0.11614,1.89318,3.72466,2.83164,0.0010496,0.0010496,0.0010496
26,1010.58,2.52105,2.44755,3.10531,0.18265,0.40625,0.10084,0.04583,1.85882,4.49727,2.81913,0.00101,0.00101,0.00101
27,1051.56,2.53129,2.41247,2.99561,0.11225,0.40625,0.06589,0.02797,2.07793,9.44855,3.36451,0.0009704,0.0009704,0.0009704
28,1093.38,2.49544,2.241,3.02035,0.05242,0.65354,0.04598,0.01611,2.49043,5.23768,3.63374,0.0009308,0.0009308,0.0009308
29,1130.93,2.33749,2.14427,2.969,0.11638,0.65625,0.09968,0.0335,2.53222,2.96425,3.46627,0.0008912,0.0008912,0.0008912
30,1167.08,2.41254,2.21717,2.95198,0.46991,0.46875,0.47498,0.09099,2.45572,3.13729,3.222,0.0008516,0.0008516,0.0008516
31,1206.66,2.41979,2.22365,2.98291,0.6195,0.5625,0.48745,0.11988,2.40822,3.69036,3.07053,0.000812,0.000812,0.000812
32,1244,2.43234,2.27787,2.99773,0.72,0.625,0.65659,0.11885,2.50289,2.95813,3.08016,0.0007724,0.0007724,0.0007724
33,1280.04,2.52371,2.33863,2.99161,0.03215,0.46875,0.05887,0.00948,2.40419,3.53919,3.25959,0.0007328,0.0007328,0.0007328
34,1317.62,2.28846,2.14955,2.94429,0.61468,0.3125,0.44908,0.18431,2.12541,2.80423,2.87493,0.0006932,0.0006932,0.0006932
35,1353.59,2.28969,2.04813,2.90638,0.6615,0.8125,0.77374,0.43067,1.84896,2.65834,2.51253,0.0006536,0.0006536,0.0006536
36,1393.26,2.29808,2.09175,2.91358,0.55421,0.6875,0.6166,0.35011,1.70316,2.84807,2.3251,0.000614,0.000614,0.000614
37,1431.5,2.24462,2.08348,2.79998,0.74069,0.40625,0.57338,0.30514,1.79004,2.69686,2.37349,0.0005744,0.0005744,0.0005744
38,1467.31,2.33174,1.9677,2.88648,0.81778,0.4375,0.60328,0.3307,1.76472,2.41405,2.39822,0.0005348,0.0005348,0.0005348
39,1503.62,2.20748,1.94934,2.89227,0.3841,0.71875,0.57324,0.28564,1.77017,2.46185,2.48857,0.0004952,0.0004952,0.0004952
40,1540.65,2.18235,1.93435,2.84572,0.62347,0.78125,0.69849,0.38214,1.79982,2.06042,2.52164,0.0004556,0.0004556,0.0004556
41,1581.12,1.94047,2.29972,2.75933,0.62715,0.90625,0.7319,0.3944,1.72686,2.11244,2.50622,0.000416,0.000416,0.000416
