epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9415,3.10578,3.84663,4.25719,0.00278,0.83333,0.00326,0.00072,3.15878,4.23167,4.15855,6e-05,6e-05,6e-05
2,52.9488,3.58325,4.12546,4.22208,0.00278,0.83333,0.0041,0.00083,3.15719,4.23409,4.15771,0.000137228,0.000137228,0.000137228
3,75.9125,3.22913,4.06722,4.29018,0.00278,0.83333,0.00434,0.00104,3.15267,4.23411,4.15596,0.000211288,0.000211288,0.000211288
4,95.9131,3.31103,3.8316,4.30127,0.00278,0.83333,0.00426,0.00097,3.14499,4.23276,4.1531,0.00028218,0.00028218,0.00028218
5,115.753,3.47893,3.95583,4.18635,0.00278,0.83333,0.00361,0.00076,3.13852,4.23266,4.15075,0.000349904,0.000349904,0.000349904
6,135.32,3.49046,3.82221,4.15161,0.00278,0.83333,0.00363,0.00088,3.1281,4.23264,4.14676,0.00041446,0.00041446,0.00041446
7,155.173,3.65444,3.7486,4.14223,0.00278,0.83333,0.00405,0.00087,3.1138,4.22879,4.14142,0.000475848,0.000475848,0.000475848
8,175.266,2.90816,3.77757,4.13409,0.00278,0.83333,0.0037,0.00083,3.09462,4.21727,4.13422,0.000534068,0.000534068,0.000534068
9,195.078,3.43129,4.22982,4.13744,0.00278,0.83333,0.00342,0.00076,3.06792,4.20379,4.12356,0.00058912,0.00058912,0.00058912
10,218.888,3.20208,3.79189,4.07351,0.00278,0.83333,0.00341,0.00076,3.03633,4.19058,4.10965,0.000641004,0.000641004,0.000641004
11,729.045,3.14644,3.8123,4.14392,0.00306,0.91667,0.0037,0.00084,3.00418,4.1892,4.09234,0.00068972,0.00068972,0.00068972
12,747.91,3.13542,3.85855,4.10162,0.00306,0.91667,0.00348,0.00083,2.96464,4.16888,4.07112,0.000735268,0.000735268,0.000735268
13,766.329,2.98984,3.66176,4.03837,0.00306,0.91667,0.00358,0.00087,2.91578,4.14627,4.04445,0.000777648,0.000777648,0.000777648
14,785.222,2.99438,3.57137,3.98983,0.00306,0.91667,0.00356,0.00088,2.88741,4.09527,4.0291,0.00081686,0.00081686,0.00081686
15,804.307,2.67812,3.45924,3.89887,0.00278,0.83333,0.00295,0.00095,2.85737,3.96329,4.01466,0.000852904,0.000852904,0.000852904
16,823.793,2.87994,3.36755,3.85464,0.00278,0.83333,0.00376,0.00121,2.83742,3.93236,4.00084,0.00088578,0.00088578,0.00088578
17,843.817,2.73909,3.63401,3.84521,0.00278,0.83333,0.00407,0.00118,2.82861,3.89275,3.99311,0.000915488,0.000915488,0.000915488
18,863.447,2.98642,3.26359,3.88753,0.00278,0.83333,0.00301,0.00089,2.94796,3.86747,4.06661,0.000942028,0.000942028,0.000942028
19,883.388,3.0402,3.07577,3.92683,0.00278,0.83333,0.0035,0.00085,3.08625,3.88503,4.1507,0.0009654,0.0009654,0.0009654
20,903.255,2.86128,3.21161,3.64183,0.00278,0.83333,0.00369,0.00075,3.25023,3.90111,4.2499,0.000985604,0.000985604,0.000985604
21,923.1,2.47295,3.21996,3.61196,0.00306,0.91667,0.00539,0.00123,3.03121,3.85996,4.15552,0.00100264,0.00100264,0.00100264
22,942.837,3.21155,3.22267,3.65131,0.00306,0.91667,0.00514,0.00112,2.97342,3.81387,4.12878,0.00101651,0.00101651,0.00101651
23,963.18,2.67637,3.29219,3.72945,0.00306,0.91667,0.00532,0.00133,2.7947,3.76326,3.97184,0.00102721,0.00102721,0.00102721
24,984.515,3.15862,3.31283,3.77373,0.00306,0.91667,0.00478,0.00142,2.78318,3.76694,3.97682,0.00103474,0.00103474,0.00103474
25,1004.38,3.08325,3.20723,3.651,0.00333,1,0.00683,0.00178,2.68465,3.70724,3.78571,0.0010391,0.0010391,0.0010391
26,1025.4,1.97536,4.20104,2.60593,0.00333,1,0.01391,0.00341,2.54574,3.59977,3.5694,0.00101,0.00101,0.00101
