time,left_command
0,20
167037,20
248351,20
12787685,20
14322981,20
15183055,20
16330666,20
18015055,20
23421592,20
25997370,20
28720129,20
31239074,20
32425129,20
33918833,20
35789963,20
41744240,20
41937481,20
46237240,20
47522963,20
51557426,20
56149888,20
61853351,20
67416611,20
72920111,20
79744407,20
83251611,20
88362555,20
89574277,20
90891907,20
91789314,20
95551055,20
97660722,20
99552500,20
131388833,20
142339000,20
149023111,20
157991777,20
158925703,20
162049370,20
165268666,20
169747000,20
185136703,20
189472666,20
193518981,20
195298314,20
198469037,20
203107462,20
204793888,20
206621611,20
208532314,20
211135314,20
222320037,20
223380500,20
226398759,20
229273370,20
236018796,20
242596629,20
246403666,20
254005611,20
257218777,20
258856629,20
262251425,20
270227740,20
271774740,20
277827944,20
282271833,20
283683203,20
285984314,20
287075074,20
291108166,20
292744148,20
294571462,20
297904259,20
300515814,20
305133203,20
306722907,20
310833185,20
312269999,20
315336777,20
319303499,20
321787685,20
324714685,20
328403685,20
330090148,20
331661259,20
335108592,20
338663259,20
343628759,20
349441962,20
352218481,20
361011870,20
372061481,20
373874907,20
374842870,20
377058388,20
379023222,20
381897073,20
386735611,20
388325259,20
389966314,20
392558740,20
395849536,20
398947962,20
404115888,20
409174092,20
414092907,20
418882296,20
421181388,20
425274277,20
430621796,20
433680407,20
436915592,20
439064203,20
441157573,20
448098870,20
464679018,20
466909166,20
470930240,20
474975425,20
477988629,20
482348703,20
483218481,20
484442647,20
487325259,20
490821444,20
493471388,20
497983666,20
500417259,20
503461518,20
507689888,20
510538629,20
512304999,20
518114777,20
519222610,20
528403518,20
530719222,20
532784685,20
536188740,20
538147518,20
541994240,20
546837036,20
550139203,20
552623629,20
556103425,20
559276277,20
561905055,20
563551573,20
566899036,20
569977166,20
574373722,20
576625944,20
582047666,20
582255351,20
584087740,20
584673073,20
587770518,20
590876740,20
594019592,20
595718314,20
597886536,20
599577259,20
601049462,20
602701166,20
605141592,20
606919703,20
612177629,20
613943240,20
614775573,20
616167907,20
616294647,20
619973833,20
620906999,20
623048573,20
625173518,20
629410851,20
630467203,20
632920055,20
636227240,20
638046370,20
640003036,20
643506388,20
647754925,20
649214944,20
651025499,20
654605721,20
655501370,20
657942018,20
660366221,20
663935833,20
666616370,20
669836055,20
672861999,20
676075018,20
678651184,20
681850684,20
684574333,20
687470314,20
690260258,20
693630721,20
696645129,20
699842666,20
704436518,20
708858777,20
712037444,20
716513629,20
719094610,20
721190555,20
723266870,20
725222499,20
727296944,20
729256203,20
731820518,20
734721314,20
736835110,20
738875592,20
741440647,20
744172351,20
746656536,20
750132203,20
752311925,20
754912758,20
757025758,20
761933407,20
763118166,20
766224870,20
768361110,20
769829925,20
770825036,20
771887258,20
774608703,20
779244018,20
782556184,20
784500962,20
788244647,20
789454740,20
793049462,20
794354610,20
795990018,20
798015110,20
800320777,20
801533666,20
803014295,20
804646184,20
806437592,20
807927221,20
811495944,20
813360462,20
815009166,20
816610314,20
818985777,20
820584055,20
821964147,20
823178388,20
824360592,20
825603573,20
826955240,20
828138240,20
829442610,20
831995184,20
833364314,20
834811944,20
838668481,20
839742666,20
841287555,20
842491092,20
844957925,20
845991073,20
847753851,20
848777018,20
850280610,20
851316184,20
852963925,20
854031314,20
855417573,20
856655388,20
860365869,20
861991610,20
863173814,20
864658258,20
866343981,20
868269703,20
870407277,20
871262425,20
873127555,20
874028592,20
875673129,20
878108869,20
880764925,20
883398814,20
884648869,20
886273536,20
889041221,20
891066610,20
894028981,20
895184110,20
896761999,20
898443592,20
899984462,20
902417666,20
904531055,20
907201314,20
909495314,20
912839166,20
913040481,20
914013092,20
916119925,20
918735295,20
922240388,20
924527721,20
928387221,20
930756184,20
932296147,20
933460425,20
935745555,20
937134925,20
938448388,20
941946740,20
943022684,20
945464295,20
945615758,20
946580703,20
947382147,20
954886721,20
955065795,20
955144369,20
955803351,20
956683110,20
957809666,20
958836721,20
960453869,20
962748814,20
964149499,20
965783999,20
968630203,20
969993110,20
971687999,20
972759999,20
974319314,20
975660888,20
976922832,20
978116369,20
980116166,20
982278684,20
984362906,20
987437999,20
988885388,20
990070240,20
991698129,20
993225203,20
996517406,20
998580443,20
1000687703,20
1001941184,20
1003571592,20
1005523481,20
1007272295,20
1009062703,20
1010826092,20
1012432258,20
1014150425,20
1017443277,20
1020140147,20
1021804832,20
1024007666,20
1025715851,20
1027410925,20
1028956055,20
1030679481,20
1032325555,20
1034217166,20
1035934388,20
1037606666,20
1040102258,20
1044357592,20
1046276721,20
1047742055,20
1049809666,20
1052220869,20
1053771369,20
1055254184,20
1056747518,20
1058581721,20
1059935332,20
1061829443,20
1063692018,20
1066993906,20
1068559277,20
1070977369,20
1072474036,20
1074745480,20
1076155351,20
1077585721,20
1078938295,20
1080238277,20
1081742443,20
1083632721,20
1085371555,20
1085530684,20
1086449962,20
1089225943,20
1089468943,20
1089545555,20
1092263721,20
1093169369,20
1094489703,20
1095469369,20
1096385536,20
1097778795,20
1098016295,20
1099492406,20
1100219962,20
1101597943,20
1102601184,20
1103822277,20
1104768499,20
1105919110,20
1107308314,20
1109506666,20
1109597517,20
1110862184,20
1112987369,20
1113842721,20
1115163314,20
1116044517,20
1117273740,20
1118542443,20
1124192499,20
1124357555,20
1124428073,20
1124495629,20
1124561443,20
1124627721,20
1125558073,20
1133634240,20
1133957184,20
1134087036,20
1134166240,20
1134232277,20
1134298758,20
1134362592,20
1134710240,20
1135703332,20
1137785980,20
1138890795,20
1140018851,20
1143461184,20
1144336573,20
1144453962,20
1144521017,20
1146944129,20
1148492314,20
1149408092,20
1153076499,20
1153397592,20
1153496480,20
1155228980,20
1155408388,20
1158166129,20
1159850980,20
1160020017,20
1161401703,20
1161547740,20
1163291036,20
1165202499,20
1165431869,20
1168056406,20
1168403647,20
1172171110,20
1172310554,20
1172382480,20
1174132480,20
1174308592,20
1175545443,20
1176407925,20
1178105592,20
1179592073,20
1185713240,20
1191104480,20
1191278240,20
1191348480,20
1192121388,20
1201846851,20
1202239795,20
1202349869,20
1202420480,20
1202488925,20
1202554573,20
1202623406,20
1202688017,20
1203264795,20
1206556462,20
1210937314,20
1211138517,20
1211205129,20
1211275036,20
1212778980,20
1214373980,20
1214541314,20
1215843647,20
1217022888,20
1218338814,20
1218526129,20
1220827499,20
1222243591,20
1225790647,20
1229200166,20
1229614147,20
1230041054,20
1232244017,20
1234208721,20
1234334110,20
1234400962,20
1235681647,20
1236613462,20
1238113054,20
1238235221,20
1239233480,20
1240295240,20
1241130332,20
1242182629,20
1243172888,20
1245674814,20
1247472443,20
1247664166,20
1248612091,20
1249731184,20
1251551443,20
1251690851,20
1255762962,20
1255949054,20
1256025777,20
1256092888,20
1257783221,20
1258671906,20
1259626647,20
1260383999,20
1261401999,20
1262582851,20
1263618332,20
1264861462,20
1265752684,20
1266723962,20
1269625999,20
1269763536,20
1269832110,20
1274648277,20
1274895129,20
1274998758,20
1275067499,20
1275828388,20
1276519240,20
1278726406,20
1278866517,20
1279821369,20
1280907129,20
1281757240,20
1283082073,20
1284697462,20
1285891147,20
1286833462,20
1288177369,20
1289049443,20
1290343573,20
1292108517,20
1292247721,20
1293112388,20
1294235332,20
1295391128,20
1296765351,20
1298010628,20
1298138610,20
1299201925,20
1300303536,20
1301152647,20
1302131906,20
1303154091,20
1305657110,20
1305805499,20
1306564425,20
1307493073,20
1308310554,20
1309128406,20
1310710073,20
1311392814,20
1312272906,20
1313714369,20
1314298128,20
1315342258,20
1316556277,20
1317251684,20
1318338999,20
1318897184,20
1320622166,20
1321841332,20
1322766017,20
1323524369,20
1324625054,20
1326352888,20
1326481925,20
1327569795,20
1328765832,20
1330161351,20
1332151536,20
1332311684,20
1332381036,20
1335490332,20
1336828832,20
1336915888,20
1338958777,20
1339131591,20
1341520314,20
1341696258,20
1345404406,20
1345602462,20
1345683999,20
1349016962,20
1349187332,20
1351675165,20
1352649258,20
1354282610,20
1356227943,20
1356430480,20
1359118554,20
1359314258,20
1360727091,20
1362219036,20
1362351814,20
1363543425,20
1365360314,20
1366313925,20
1367477073,20
1368346703,20
1369593703,20
1370434499,20
1371557128,20
1372825017,20
1373946536,20
1374995777,20
1375119443,20
1375987628,20
1377209017,20
1378402684,20
1379495536,20
1380643628,20
1381745573,20
1382954277,20
1383085777,20
1384203221,20
1385646832,20
1387080665,20
1388853721,20
1390225017,20
1391895073,20
1393287443,20
1395272258,20
1396779406,20
1397546406,20
1398304906,20
1399065536,20
1400644388,20
1401445147,20
1402163925,20
1403187221,20
1404823184,20
1405843165,20
1405965980,20
1407316332,20
1408524943,20
1409455665,20
1410300536,20
1411570721,20
1412360499,20
1413115999,20
1414755425,20
1414975925,20
1416212017,20
1417463925,20
1418552351,20
1419421036,20
1420578351,20
1421627943,20
1422634091,20
1423490091,20
1424384832,20
1425290980,20
1426479536,20
1429033980,20
1429843962,20
1430657925,20
1432282980,20
1433047036,20
1436024351,20
1436744091,20
1437549480,20
1438414684,20
1439237388,20
1440231962,20
1441193332,20
1442570943,20
1443474740,20
1444989369,20
1445119647,20
1446184091,20
1447150925,20
1448204777,20
1449376758,20
1450629091,20
1451398962,20
1452355647,20
1453702702,20
1454485665,20
1455397999,20
1456399036,20
1457292128,20
1458697295,20
1459742221,20
1460706591,20
1461740610,20
1462654517,20
1463541462,20
1464474962,20
1465693721,20
1466817017,20
1467664999,20
1468660073,20
1469580943,20
1470752888,20
1472287943,20
1473390925,20
1474525480,20
1475356888,20
1476269721,20
1477360443,20
1478353573,20
1479306332,20
1480160610,20
1481419017,20
1482382388,20
1483362610,20
1484277369,20
1485397258,20
1486467184,20
1487786351,20
1488824017,20
1489847869,20
1490874888,20
1491847388,20
1492601665,20
1493721962,20
1494578962,20
1495584684,20
1496516573,20
1497193388,20
1498350980,20
1499317573,20
1500292869,20
1501291758,20
1502510425,20
1503607591,20
1504629277,20
1505455110,20
1506409462,20
1507560647,20
1508977128,20
1510153610,20
1511235943,20
1512227980,20
1513181906,20
1514918369,20
1515847591,20
1516734332,20
1517784351,20
1518934517,20
1519050351,20
1520544128,20
1521718443,20
1522480962,20
1523494610,20
1524398128,20
1525083888,20
1526118573,20
1527158221,20
1528292277,20
1529269906,20
1530259628,20
1531038795,20
1532110517,20
1533383184,20
1534455684,20
1535360554,20
1536153684,20
1537441425,20
1538727332,20
1539641369,20
1540256610,20
1541535258,20
